"REST_ID","REST_NAME","CUISINE"
2700008,"Jungli Moon Dance Restaurant","North Indian"
2700008,"Jungli Moon Dance Restaurant","South Indian"
2700008,"Jungli Moon Dance Restaurant","Chinese"
2700024,"Kathi Kabab","Fast Food"
2700024,"Kathi Kabab","North Indian"
2700001,"Hot Lips","North Indian"
2700001,"Hot Lips","Chinese"
2800052,"The Square - Hotel Novotel","Continental"
2800052,"The Square - Hotel Novotel","North Indian"
2800019,"Flying Spaghetti Monster","Italian"
2800856,"Barbeque Nation","North Indian"
2800856,"Barbeque Nation","Chinese"
2800856,"Barbeque Nation","Mediterranean"
2800012,"Pizza Hut","Pizza"
2800012,"Pizza Hut","Fast Food"
2800096,"Kamat Restaurant","Andhra"
2800096,"Kamat Restaurant","North Indian"
2800096,"Kamat Restaurant","Chinese"
2800096,"Kamat Restaurant","Seafood"
2800096,"Kamat Restaurant","Biryani"
2800095,"Alpha Hotel","North Indian"
2800095,"Alpha Hotel","Biryani"
2800911,"Double Roti","Cafe"
2800911,"Double Roti","Fast Food"
2800911,"Double Roti","American"
2800013,"Pizza Hut","Pizza"
2800013,"Pizza Hut","Fast Food"
2800881,"Plot 17","Burger"
2800881,"Plot 17","Pizza"
2800881,"Plot 17","Biryani"
18285610,"Six Degrees","South Indian"
18285610,"Six Degrees","Chinese"
18285610,"Six Degrees","Continental"
18285610,"Six Degrees","Italian"
18285610,"Six Degrees","North Indian"
18306045,"Percolator Coffee House","Mughlai"
18306045,"Percolator Coffee House","Chinese"
18306045,"Percolator Coffee House","Cafe"
18306045,"Percolator Coffee House","BBQ"
18306045,"Percolator Coffee House","Cajun"
2800083,"My Restaurant","Andhra"
2800083,"My Restaurant","North Indian"
2800083,"My Restaurant","Chinese"
2800042,"Vista - The Park","American"
2800042,"Vista - The Park","North Indian"
2800042,"Vista - The Park","Thai"
2800042,"Vista - The Park","Continental"
2800757,"Bake My Wish","Fast Food"
2800418,"Kaloreez","Cafe"
2800418,"Kaloreez","North Indian"
2800418,"Kaloreez","Chinese"
2800294,"Sri Sairam Parlour","South Indian"
2800294,"Sri Sairam Parlour","North Indian"
2800128,"Sea Inn - Raju Gaari Dhaba","Biryani"
2800128,"Sea Inn - Raju Gaari Dhaba","Andhra"
2800897,"Tea Trails","Fast Food"
2800100,"D Cabana","Continental"
2800100,"D Cabana","Seafood"
2800100,"D Cabana","Chinese"
2800100,"D Cabana","North Indian"
2800100,"D Cabana","Biryani"
2800903,"Mekong - Hotel GreenPark","Chinese"
2800903,"Mekong - Hotel GreenPark","Thai"
2800903,"Mekong - Hotel GreenPark","Burmese"
2800903,"Mekong - Hotel GreenPark","Vietnamese"
2800903,"Mekong - Hotel GreenPark","Tibetan"
2800903,"Mekong - Hotel GreenPark","Japanese"
18436042,"Eram Rooftop","Asian"
